title,price,img
Counter Assault Bear Spray  8.1 oz (Pack of 2), $96.95, https://m.media-amazon.com/images/I/81YHVA83GOS._AC_UL320_.jpg
8.1 Oz / 10.2 Oz Bear Spray Combo Pack, $106.99, https://m.media-amazon.com/images/I/916uy779F1L._AC_UL320_.jpg
Bear Spray (2 Pack) -Strongest Formula Allowed by EPA  Includes (2) Griz Guard Holsters(Griz #2), $59.99, https://m.media-amazon.com/images/I/811S2UIEn4L._AC_UL320_.jpg
Guard Alaska 9 oz. Bear Spray and Pepper Defense Belt Clip Holster - Maximum Strength Pepper Spray for Hiking  Camping  Outdoors  Self Defense, $37.99, https://m.media-amazon.com/images/I/71WywTQlXKL._AC_UL320_.jpg
Byrna BGR MAX Pepper Spray + Tear Gas | Maximum Stopping Power | Attacker Tracker UV Marking DYE Technology | Military Strength Self-Defense Stream Spray, $19.99, https://m.media-amazon.com/images/I/71FPyLrzlAL._AC_UL320_.jpg
UDAP Pepper Power Bear Spray Self Defense Deterrent with Hip Holster and Belt for Camping  Hiking  Fishing  Powerful Blast Pattern  30 ft Fog Barrier  7.9 oz, $39.99, https://m.media-amazon.com/images/I/61Li+w6XfFL._AC_UL320_.jpg
SABRE RED Compact Pepper Spray  Max Police Strength OC Spray with UV Dye  Compact Belt Clip For Easy Carry & Fast Access  Protect Against Multiple Threats  0.67 fl oz  Secure & Easy to Use Safety, $13.46, https://m.media-amazon.com/images/I/81ZHBLyOX5L._AC_UL320_.jpg
SABRE Frontiersman Bear Spray 9.2 oz (Holster Options & Multi-Pack Options) — Maximum Strength  Maximum Range & Greatest Protective Barrier Per Burst! — Effective Against All Types of Bears, $41.70, https://m.media-amazon.com/images/I/71PSdr60lRL._AC_UL320_.jpg
SABRE Defense Spray  3-in-1 Formula Contains Max Strength Pepper Spray  CS Military Tear Gas & UV Marking Dye  Quick Release Key Ring for Easy Carry  Finger Grip for More Accurate Aim  0.54 fl oz, $9.98, https://m.media-amazon.com/images/I/81YqvOmL+QL._AC_UL320_.jpg
Guard Alaska 9 oz. Bear Spray and Pepper Defense Belt Loop Holster - Maximum Strength Pepper Spray for Hiking  Camping  Outdoors  Self Defense, $94.97, https://m.media-amazon.com/images/I/719ubAaDMbL._AC_UL320_.jpg
UDAP Pepper Power Bear Spray Self Defense Deterrent with Griz Guard Holster for Camping  Hiking  Fishing  Powerful Blast Pattern  30 ft Fog Barrier  Safety Orange  SOG2  7.9 oz  2 Pack, Nothing, https://m.media-amazon.com/images/I/81i4UXAQePL._AC_UL320_.jpg
Phoenix P360S Pepper Gel from qseel. Maximum Strength Police & Military Grade Pepper Spray  Gel is Better  Sprays at Any Angle 18 feet  Flip-top Safety and Belt Clip Included, $24.99, https://m.media-amazon.com/images/I/61n6HzktxJL._AC_UL320_.jpg
SHARPOTS Pepper Spray Maximum Strength Powerful Bear Spray for Easy Access Outdoor Camping & Hiking Protection and Other Outdoor Activities 200ml/6.7OZ, $16.99, https://m.media-amazon.com/images/I/61LEsk70WqL._AC_UL320_.jpg
Counter Assault Bear Spray - 10.2 Oz, $62.99, https://m.media-amazon.com/images/I/81ZtSgakxXL._AC_UL320_.jpg
SABRE Frontiersman 7.9 oz. Bear Spray  Maximum Strength 2.0% Major Capsaicinoids  Powerful 30 ft. Range Bear Deterrent  Outdoor Camping & Hiking Protection  Quick Draw Holster & Multipack Options, Nothing, https://m.media-amazon.com/images/I/91i7jBBdOWL._AC_UL320_.jpg
SABRE Pepper Spray  Maximum Police Strength OC Spray  Quick Release Keychain for Easy Carry and Fast Access  Finger Grip for More Accurate and Faster Aim  0.54 fl oz  Secure and Easy to Use Safety, $16.31, https://m.media-amazon.com/images/I/71YUf0ISnHL._AC_UL320_.jpg
Counter Assault 8.1 Oz Bear Spray and Inert Combo Pack, $74.99, https://m.media-amazon.com/images/I/71Swe-Gxu0L._AC_UL320_.jpg
UDAP Pepper Power Bear Spray Self Defense Deterrent with Griz Guard Holster for Camping  Hiking  Fishing  Powerful Blast Pattern  30 ft Fog Barrier  12SO  7.9 oz, $40.44, https://m.media-amazon.com/images/I/71wBsB0qwtL._AC_UL320_.jpg
UDAP BS2 7.90z. 225g Bear Spray, $59.99, https://m.media-amazon.com/images/I/8119CMeSS1L._AC_UL320_.jpg
SABRE Frontiersman Bear Spray Holster for 7.9 & 9.2 Oz. Canisters  Nylon Chest  Belt  Waist  & 3-in-1 Options Available  Adjustable Straps  Strong Elastic Prevents Canister Loss  Hook & Loop Design, $24.63, https://m.media-amazon.com/images/I/81ZiyviiiSL._AC_UL320_.jpg
Brand Pepper Spray Gun with Strobe LED or Gun Holster  Black, $39.02, https://m.media-amazon.com/images/I/71ejEqTL3YL._AC_UL320_.jpg
SABRE Pepper Spray  Quick Release Keychain for Easy Carry and Fast Access  Finger Grip for More Accurate and Faster Aim  Maximum Police Strength OC Spray  0.54 fl oz  Secure and Easy to Use Safety, $14.62, https://m.media-amazon.com/images/I/61IqT-Z2lNL._AC_UL320_.jpg
Coghlan's Bear Bell with Magnetic Silencer, $7.15, https://m.media-amazon.com/images/I/61BheDkwd5L._AC_UL320_.jpg
3 Personal Defense UDAP Bear Sprays w/ Holsters 12VHP, $89.99, https://m.media-amazon.com/images/I/51y7W4twn4L._AC_UL320_.jpg
SABRE Frontiersman MAX 9.2 oz. Bear & Mountain Lion Attack Deterrent  Up to 40 ft Range  Contains 2% Major Capsaicinoids + Frontiersman Bear Horn (FBH-LT-AMZ) Kit  Glow-in-The-Dark Safety, Nothing, https://m.media-amazon.com/images/I/71hHBanNJvL._AC_UL320_.jpg
POM MK3 Pepper Spray  Belt Clip Model - Maximum Strength  Flip Top Safety 360° Performance  18-20-Foot Range  Powerful  Accurate Stream, $15.95, https://m.media-amazon.com/images/I/61WdFVedpoL._AC_UL320_.jpg
POM Pepper Spray Combo Pack Clip & Keychain - Maximum Strength OC Spray Self Defense- Tactical Compact & Safe Design - 25 Bursts & 10 ft Range - Stream Spray Pattern, $24.95, https://m.media-amazon.com/images/I/81y8cKQj3gL._AC_UL320_.jpg
1.4oz Bear Horn Self Defense  Loud Air Horn for Bears  120dB Heard up to 1/2 Mile Away  Air Horns for Safety for Wild Animals  Bear Alarm Scare Bears  Ideal for Hiking (1), $13.99, https://m.media-amazon.com/images/I/71U7zEEQubL._AC_UL320_.jpg
Pavashot-Stickshot | Self Defense Device Easily Reloadable Non-Lethal Launcher 50-Foot Range Multi-Safety Function All-Weather 6-feet Diameter Plume Designed & Assembled in The USA  Black, $99.00, https://m.media-amazon.com/images/I/81qYLXP7eML._AC_UL320_.jpg
NedFoss 2" Loud Bear Bell with Whistle Set for Hikers  3 in 1 Hiking Gear Solid Brass Bear Bells with Silencer  Emergency Whistle and Carabiner for Survival  Hiking  Biking  Fishing  Climbing, $15.99, https://m.media-amazon.com/images/I/61KSxieECcS._AC_UL320_.jpg
Deer Hunting Attractant  Bear  Elk  & Trapping Hunting Cover Spray - Create Your Own Cover Scents - Essential Hunting Accessories, $99.00, https://m.media-amazon.com/images/I/71nyDf5r5CL._AC_UL320_.jpg
1552 Scent Killer Spray, $14.99, https://m.media-amazon.com/images/I/71drEt1mmLL._AC_UL320_.jpg
Gel Pepper Spray with Belt Clip and Guard Alaska Bear Spray Repellent - EPA Maximum Strength OC Formula  Flip Top Safety  Non Lethal Self Defense  Hiking  Camping  Outdoors, $44.98, https://m.media-amazon.com/images/I/61vR1xpC5fL._AC_UL320_.jpg
NedFoss 2Pack 2" Loud Bear Bell with Whistle Set for Hikers  3 in 1 Hiking Gear Solid Brass Bear Bells with Silencer  Emergency Whistle and Carabiner for Survival  Hiking  Biking  Fishing  Climbing, $21.99, https://m.media-amazon.com/images/I/71qpIkirRbL._AC_UL320_.jpg
4 Pack Bear Horn to Scare Bears 1.4oz  Very Loud 120dB Bear Air Horns for Safety for Hiking  Heard Up to 1/2 Mile Away  Bear Spray Self Defense  Blow Horn to Scare Wild Animals  Bear Alarm, $36.99, https://m.media-amazon.com/images/I/81+XtrZAC1L._AC_UL320_.jpg
130dB Keychain Siren Strobe Light. Loud Sound Personal Safety Alarm with Carabiner. SOS Emergency Alerts for Women  Girls  School Children  Night Runners  Hiking. Bear Alarm Deterrent.Pink, $13.99, https://m.media-amazon.com/images/I/618PlAp-kgL._AC_UL640_QL65_.jpg
UDAP Griz Guard Bear Pepper Spray Holster  Holder with Belt Clip for Camping  Hiking  Fishing  Fits All 2-2.5" Cans  GGH, $9.99, https://m.media-amazon.com/images/I/61h0bKG1nqL._AC_UL320_.jpg
4 1.5 Inch Bear Bell with Whistle Set for Hikers Solid Brass Emergency 3 in 1 Bear Bells for Hiking Outdoor Camping Bear Protection Products for Survival Biking Fishing Climbing Self Defense Gear, $26.99, https://m.media-amazon.com/images/I/71SIf8AcE6L._AC_UL320_.jpg
1.4oz Bear Horn Self Defense  Loud Air Horn for Bears  120dB Heard up to 1/2 Mile Away  Air Horns for Safety for Wild Animals  Bear Alarm Scare Bears  Ideal for Hiking(2 Pack), $19.99, https://m.media-amazon.com/images/I/81NuQwHrCpL._AC_UL320_.jpg
